orgid,reviewid,phraseid
134523,10003793,1
10692,15299154,1
1070124,25629075,2
738856,20124316,1
738968,19359642,1
194,22926707,1
18182,5853692,1
4390,15733871,1
1493,9634670,1
3322,7996529,1
305808,21821174,1
218870,8936966,1
746317,6336280,3
2341473,23313635,1
19466,9162615,1
702672,16711299,1
767228,13751112,2
2810,7571420,1
437,19076030,1
279253,4190951,2
600437,1905321,2
432,13081225,1
239535,5861244,1
437,12174260,1
328664,18047932,1
224795,21005710,1
1642981,16208966,1
2202,22130824,1
670636,24437532,1
12190,25409799,1
1162,6684039,1
575263,13255449,1
7853,18522396,1
227807,5718403,1
784567,25487422,1
1026701,7252887,1
2703,8965254,1
158481,23237700,1
11191,13162916,1
137809,3522721,1
743843,15584887,1
782869,11860172,1
2994,18968104,1
2864,7117868,1
31022,3659147,1
4006,15606005,1
722291,13562732,1
41322,17301919,1
19903,18826777,1
131609,21458743,1
6756,24497401,1
465208,19594701,1
331031,6254601,1
336290,5746396,1
30809,10406951,1
13609,5094683,1
325658,19871129,1
1274684,13174227,1
3453,3907301,1
29302,4594114,1
1349996,24246707,2
1923261,21351962,2
851981,13352701,1
2202,24281219,2
1229,9362184,1
1395265,22998129,2
97,4067178,1
667442,5118004,3
456303,17919268,2
40684,15595730,1
1291647,15608833,1
656766,17833429,1
714439,13334525,1
2439,7133807,1
427436,14391832,1
816783,11569513,2
10090,14900153,1
366121,1160736,1
539833,4457951,1
285455,3838832,1
2202,11740802,1
18424,2624922,1
215811,8740096,1
383472,1324610,3
385865,5473394,1
224489,9444406,1
844159,4648312,1
20665,13433707,1
1010330,7690327,1
1079,13717867,1
1015820,15590763,1
979597,16463281,1
97,6738473,1
1539896,18166138,1
219697,6918448,1
613,20743563,2
1047287,7627192,1
100569,7342469,1
852548,16095924,1
779622,22563647,1
